ID,Nombre_Punto,Latitud,Longitud,Departamento,Region,Tipo_Infraestructura,Elevacion_msnm,Temperatura_C,Humedad_Pct,Presion_hPa,Demanda_Energia,Nivel_CO2,Indice_Vulnerabilidad,Ranking_Conectividad
ST_100,Sensor_Meta_0,3.8648827554180247,-73.3622834637748,Meta,Orinoquia,Estación Monitoreo,53.51968516908636,20.473860833744823,82.7369002465315,1000.6861002700721,49.379264098636156,395.97807422051073,0.14286681792194078,3
ST_101,Sensor_Cundinamarca_1,4.3535982875182855,-73.96345238047013,Cundinamarca,Andina,Estación Monitoreo,952.5407925635984,21.116328778811784,82.89976144859136,1011.9863782630364,41.77785754062111,401.21688245007624,0.04666566321361543,60
ST_102,Sensor_Nariño_2,1.3210394507823715,-77.66398825097154,Nariño,Pacifica,Estación Monitoreo,2510.6432859938545,22.12915791033727,79.83077893710532,1016.0296174259479,57.264639104650854,398.96975429773994,0.013264961159866528,89
ST_103,Sensor_Cundinamarca_3,5.556385635679603,-74.1501092486785,Cundinamarca,Andina,Estación Monitoreo,2364.2330454048333,22.92200866654685,78.27726851183412,997.9953186931864,66.03706375649578,403.191701172078,0.8331949117361643,35
ST_104,Sensor_Atlantico_4,11.243056413390521,-75.14222672518831,Atlantico,Caribe,Estación Monitoreo,1890.9071892266943,22.516244119264023,78.8950982528107,988.206558582348,64.68040821053357,399.6874286761485,0.3951502360018144,14
ST_105,Sensor_Meta_5,4.740446385974764,-73.67782414119412,Meta,Orinoquia,Estación Monitoreo,770.3111148306142,24.49315169045274,76.42120445347804,999.9198861860768,64.526225841359,402.16424445243786,0.28093450968738076,41
ST_106,Sensor_Santander_6,6.771538999847021,-72.81416185557957,Santander,Andina,Estación Monitoreo,964.1274557154925,26.677424256446304,80.96929002074451,995.2608343841928,67.09471984008844,400.7225268628071,0.3308980248526492,48
ST_107,Sensor_Nariño_7,1.6977725635611796,-76.69014182764965,Nariño,Pacifica,Estación Monitoreo,1876.4967550286703,25.543968932921235,80.45704509540843,1011.0872617945225,64.51984521719179,399.9183925099436,0.713244787222995,1
ST_108,Sensor_Meta_8,4.122086980445024,-72.837678172093,Meta,Orinoquia,Estación Monitoreo,1571.4851861223249,24.553815804905483,80.06502488880815,1005.1910613803008,68.49643530850076,400.263521553071,0.907566473926093,23
ST_109,Sensor_Meta_9,3.1462155426995535,-74.01462916434896,Meta,Orinoquia,Estación Monitoreo,567.9451367637673,28.57698038004606,77.58461920363028,1004.5732249444022,71.98419427518793,402.406373305864,0.8714605901877177,28
